
Name                                                                            Value
Microsoft.M365AzsecpackAutoconfig.CentralNamespaceConfigure.decnf               1.10
Microsoft.GuestConfiguration.ConfigurationForLinux                              1.26.101
Microsoft.Azure.SiteRecovery.Test.LinuxUBUNTU1404                               1.5.25.333
KevlarExtensions.M365SecurityODL.ODLExtension                                   1.105.0.0
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU2404                              1.5.25.333
Microsoft.OSTCExtensions.DSCForLinux                                            3.8.10
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCSetupMi                        0.3.0.0
Microsoft.SoftwareUpdateManagement.LinuxOsUpdateExtension                       1.0.59.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNodeApatrush        1.5.0.0
HPE.Security.ApplicationDefender.DotnetAgent                                    1.6.14.0
Microsoft.ServicesHub.AzureAssessment                                           1.13
Microsoft.Azure.Test.Identity.TestMSIWindowsExtension                           1.0.0.11
Microsoft.ServicesHub.WindowsClientAssessmentPlus                               1.6
Microsoft.Azure.FileServer.Edp.FileServerIaaS                                   1.0.0.1
Microsoft.M365Security.Kevlar.Watchdog                                          1.1.0.0
Microsoft.OSTCExtensions.AzureDiskEncryptionForLinux                            0.1.0.999105
Microsoft.Azure.ServiceFabric.MC.Test.ServiceFabricMCNodeArm-Test               1.5.0.0
Gemalto.SafeNet.ProtectV.ProtectVClientWindowsExtension                         3.0.0.318
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN12                                1.5.25.333
Microsoft.Security.CRED.Defender.Credactor.Test                                 1.2.0
Microsoft.CPlat.Core.VMApplicationManagerWindows                                1.0.16
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN8                     1.0.0.9256
Stackify.LinuxAgent.Extension.StackifyLinuxAgentExtension                       1.0.0.21
Microsoft.Azure.Security.Dsms.DSMSForWindows                                    4.8.3216369
Microsoft.Azure.SiteRecovery.Stage.Ubuntu1804                                   1.0.0.109
Elastic.ElasticAgent.linux                                                      1.3.0.0
Microsoft.CPlat.ProxyAgent.ProxyAgentWindows                                    1.0.36
Microsoft.Azure.ServiceFabric.MC.ServiceFabricMCNode                            1.5.0.0
Microsoft.Azure.SCOMMI.GatewayServer                                            1.0.0.5
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxSLES12                      1.0.0.9256
Microsoft.CPlat.Core.LinuxPatchExtension                                        1.6.64
Microsoft.OSTCExtensions.Null                                                   2.1.0.0
Microsoft.Azure.Extensions.LinuxAsm                                             2.2.5
Microsoft.Azure.Networking.DNS.Dev.DNSClientCache                               1.11.10
Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux                         1.4.3783.1
Microsoft.Azure.Migrate.AzureMigrateCollectorForWindows                         1.0.0.15
Microsoft.Azure.AzureDefenderForServers.MDE.Linux                               1.0.8.9
Microsoft.AzureStack.ArcVirtualization.AgentExtension                           1.3.7
Microsoft.Azure.SiteRecovery2.Test.LinuxSLES12                                  1.5.25.333
Microsoft.ServicesHub.SQLAssessmentPlus                                         1.8
Elastic.ElasticAgent.windows                                                    1.3.0.0
Microsoft.ManagedServices.Edp.ApplicationHealthWindows                          2.0.13
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCSetupMigration-Test            0.1.0.2
Microsoft.Azure.Workloads.WorkloadsExtensionWindows                             1.0.26.1
Microsoft.HpcCompute.AmdGpuDriverWindows                                        1.5.0.5
Microsoft.Azure.Monitor.VirtualMachines.GuestHealth.GuestHealthLinuxAgent       1.0.54
Microsoft.Network.Bastion.Linux.Development                                     1.0.1
CrowdStrike.Falcon.FalconSensorWindows                                          1.1.0
Microsoft.Azure.ServiceFabric.MC.Test.SfmcSetup-Test                            1.3.0.2
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxOL8                         1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxSLES11SP3                    1.0.0.9256
Dh2ico.DxEnterpriseForLinux                                                     20.0.218
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU1604                              1.0.25.317
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL6                                   1.0.25.317
Microsoft.AzureCAT.AzureEnhancedMonitoring.MonitorX64Windows                    1.93.0.0
Microsoft.Azure.SiteRecovery2.Test.LinuxOL10                                    1.5.25.333
Microsoft.Security.CRED.Defender.Credactor-Linux-Test                           1.0.22
Microsoft.ServicesHub.ExchangeAssessment                                        1.7
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL10                                  1.0.25.317
Tanium.Client.TaniumClientLinux                                                 1.2.6.0
Microsoft.AzureData.LinuxAgent.SqlServer                                        1.1.3211.337
Microsoft.Azure.Monitor.AzureMonitorWindowsAgent                                1.39.0.0
Microsoft.Azure.SiteRecovery2.Test.LinuxRHEL8                                   1.5.25.333
Microsoft.Azure.ServiceFabric.MC.Test.SfmcSetupArm-Test                         1.3.0.2
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL9                                   1.0.25.317
Qualys.WindowsAgent.AzureSecurityCenter                                         1.0.0.21
Microsoft.Azure.SiteRecovery2.Test.LinuxOL9                                     1.5.25.333
Microsoft.Azure.Security.Edp.AzureDiskEncryption                                2.4.0.22
Microsoft.OSTCExtensions.LinuxDiagnostic                                        2.3.9029
Microsoft.CPlat.Core.NullSeqA                                                   2.0.1
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN11                                1.5.25.333
Microsoft.Azure.Networking.SDN.Aquarius                                         5.0.0.0
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN7                                 1.5.25.333
Microsoft.Azure.SiteRecovery.Test.LinuxRHEL7Test                                1.5.25.333
Microsoft.CPlat.Core.NullWindowsEmergency                                       1.2.0
Microsoft.Azure.SiteRecovery.Test.WindowsTest                                   1.5.25.333
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxRHEL6                        1.0.0.9258
